Rainfall_Monteporzio,Rainfall_Velletri,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri,Date,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9
0.0,0.0,905.3594444444444,3395.6749999999997,3308.88,3648.1755555555555,7942.792222222222,2813.39,4034.6400000000003,3189.6427777777776,5.3,8.6,01/01/2004,-28.2,-93.45,-112.87,-97.95,-100.26,-91.72,-93.85,-95.53,-95.98
0.2,0.8,941.1916666666667,3090.943333333333,3419.7577777777783,3210.42,5760.56,2422.1222222222223,3504.7183333333332,3231.8438888888886,4.7,6.25,02/01/2004,-34.34,-93.66,-113.39,-98.0,-100.35,-91.73,-93.99,-95.66,-93.23
0.0,0.0,985.642777777778,3105.2188888888886,3299.135,3541.2438888888887,7733.685555555556,2640.8811111111113,3883.0772222222213,3045.2894444444446,5.4,9.8,03/01/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
0.0,0.0,352.37777777777774,3370.3111111111116,3286.2961111111113,3651.676666666667,7964.862222222222,2851.7216666666664,4053.053888888889,3228.4433333333336,3.35,5.95,04/01/2004,-28.2,-93.45,-112.87,-97.95,-100.26,-91.72,-93.85,-95.53,-95.98
0.2,0.0,668.4266666666667,2866.595555555555,3167.102222222222,3310.8177777777773,7226.372777777778,2587.578333333333,3727.723333333333,2893.2083333333335,3.6,5.85,05/01/2004,-35.87,-99.6,-114.12,-100.67,-104.14,-93.26,-97.43,-98.62,-92.71
0.0,0.0,360.455,3242.0655555555554,3381.5844444444447,3652.161666666667,7981.001666666668,2790.5144444444445,4039.7833333333338,3194.3388888888894,3.9,5.75,06/01/2004,-28.2,-93.45,-112.87,-97.95,-100.26,-91.72,-93.85,-95.53,-95.98
0.0,0.0,567.7877777777778,3368.660555555555,3274.7944444444443,3650.0605555555553,8005.278333333332,2848.0655555555554,4046.823888888888,3214.1494444444447,4.25,5.95,07/01/2004,-34.85,-97.93,-117.72,-100.1,-102.6,-92.21,-96.75,-98.42,-105.28
1.8,3.8,620.7111111111112,3200.631666666666,3632.477222222222,3462.1266666666666,6923.884444444444,2736.2238888888887,3655.0688888888885,3379.03,6.35,6.7,08/01/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
13.2,12.0,1135.6377777777777,3570.4861111111113,3510.8994444444447,3649.281111111112,7506.4927777777775,2776.172222222222,3931.2599999999998,3478.8288888888887,6.35,8.15,09/01/2004,-24.25,-93.17,-110.17,-98.06,-100.46,-91.67,-93.45,-95.07,-94.9
0.0,0.0,376.6905555555556,3371.278888888889,3338.04,3648.4594444444438,7968.52277777778,2850.838888888889,4057.8733333333334,3198.476111111111,5.45,10.5,10/01/2004,-23.66,-93.15,-109.56,-98.09,-100.53,-91.67,-93.4,-95.07,-89.9
0.0,0.0,985.642777777778,3324.8905555555552,3144.1422222222227,3650.8194444444443,7989.670555555556,2833.255555555556,4006.0216666666665,3244.009444444444,5.7,9.05,11/01/2004,-28.2,-93.45,-112.87,-97.95,-100.26,-91.72,-93.85,-95.53,-95.98
0.0,0.2,1769.96,3576.9666666666667,3976.6261111111107,3619.968888888889,6840.250555555555,2743.862222222222,3943.9750000000004,3657.3844444444444,8.3,9.5,12/01/2004,-33.38,-92.94,-107.88,-97.22,-99.64,-91.3,-93.63,-94.66,-97.02
0.2,0.0,1762.4127777777776,3393.9533333333334,3403.6600000000003,3556.636666666667,7623.471666666666,2661.1122222222216,3829.0866666666666,3315.8094444444446,11.5,11.65,13/01/2004,-45.53,-100.63,-115.44,-101.12,-104.04,-93.5,-96.92,-100.78,-93.18
0.0,0.2,1497.7416666666666,3407.9483333333333,3699.022222222223,3442.135,6791.752777777779,2523.604444444445,3725.2749999999996,3401.290555555556,10.9,12.05,14/01/2004,-52.33,-100.75,-115.59,-101.44,-104.01,-93.71,-94.76,-101.5,-93.95
0.2,0.4,1674.2738888888891,3335.117222222222,3713.2083333333335,3456.7611111111114,7096.648888888889,2501.6822222222227,3747.361666666667,3360.96,5.75,10.35,15/01/2004,-34.53,-93.64,-113.51,-98.0,-100.35,-91.71,-93.96,-95.63,-96.2
0.0,0.4,1219.2477777777776,3530.3844444444444,3809.0044444444447,3651.9788888888893,7165.293333333333,2689.442777777778,3977.3277777777776,3589.996666666667,4.65,6.25,16/01/2004,-33.38,-92.94,-107.88,-97.22,-99.64,-91.3,-93.63,-94.66,-97.02
0.6,0.4,1602.1955555555555,3403.5522222222226,3125.908333333333,3649.4383333333335,7808.381666666666,2553.9711111111114,3924.826111111111,3214.985555555555,7.95,8.8,17/01/2004,-21.76,-92.83,-111.62,-97.76,-99.85,-91.43,-93.23,-95.04,-90.77
22.6,22.4,1254.7455555555557,3636.4083333333333,3384.832777777778,3737.8899999999994,7669.604444444443,2739.8488888888887,4007.5194444444446,3413.9116666666664,7.65,9.5,18/01/2004,-24.25,-93.17,-110.17,-98.06,-100.46,-91.67,-93.45,-95.07,-94.9
