Rainfall_Terni,Date,Flow_Rate_Lupa
2.7969999999999997,01/01/2009,-98.65499742063498
2.7969999999999997,02/01/2009,-98.65499742063498
2.7969999999999997,03/01/2009,-98.65499742063498
2.7969999999999997,04/01/2009,-98.65499742063498
2.7969999999999997,05/01/2009,-98.65499742063498
2.7969999999999997,06/01/2009,-98.65499742063498
2.7969999999999997,07/01/2009,-98.65499742063498
2.7969999999999997,08/01/2009,-98.65499742063498
2.7969999999999997,09/01/2009,-98.65499742063498
2.7969999999999997,10/01/2009,-98.65499742063498
2.7969999999999997,11/01/2009,-98.65499742063498
2.7969999999999997,12/01/2009,-98.65499742063498
2.7969999999999997,13/01/2009,-98.65499742063498
2.7969999999999997,14/01/2009,-98.65499742063498
2.7969999999999997,15/01/2009,-98.65499742063498
2.7969999999999997,16/01/2009,-98.65499742063498
2.7969999999999997,17/01/2009,-98.65499742063498
2.7969999999999997,18/01/2009,-98.65499742063498
2.7969999999999997,19/01/2009,-98.65499742063498
2.7969999999999997,20/01/2009,-98.65499742063498
2.7969999999999997,21/01/2009,-98.65499742063498
2.7969999999999997,22/01/2009,-98.65499742063498
2.7969999999999997,23/01/2009,-98.65499742063498
2.7969999999999997,24/01/2009,-98.65499742063498
2.7969999999999997,25/01/2009,-98.65499742063498
2.7969999999999997,26/01/2009,-98.65499742063498
2.7969999999999997,27/01/2009,-98.65499742063498
2.7969999999999997,28/01/2009,-98.65499742063498
2.7969999999999997,29/01/2009,-98.65499742063498
2.7969999999999997,30/01/2009,-98.65499742063498
2.7969999999999997,31/01/2009,-98.65499742063498
2.763,01/02/2009,-169.5481026909366
2.763,02/02/2009,-169.5481026909366
2.763,03/02/2009,-169.5481026909366
2.763,04/02/2009,-169.5481026909366
2.763,05/02/2009,-169.5481026909366
2.763,06/02/2009,-169.5481026909366
2.763,07/02/2009,-169.5481026909366
2.763,08/02/2009,-169.5481026909366
2.763,09/02/2009,-169.5481026909366
2.763,10/02/2009,-169.5481026909366
2.763,11/02/2009,-169.5481026909366
2.763,12/02/2009,-169.5481026909366
2.763,13/02/2009,-169.5481026909366
