Rainfall_Settefrati,Temperature_Settefrati,Date,Flow_Rate_Madonna_di_Canneto
0.0,5.25,01/01/2012,284.9816316
5.6,6.65,02/01/2012,289.54556139999994
10.0,8.85,03/01/2012,285.9679685
0.0,6.75,04/01/2012,289.06439735000004
1.0,5.55,05/01/2012,296.6075439
5.2,5.05,06/01/2012,285.433921
0.0,4.3,07/01/2012,293.2129685
0.0,5.7,08/01/2012,255.956525
0.0,3.15,09/01/2012,296.6075439
0.2,4.4,10/01/2012,292.2808907
0.0,4.75,11/01/2012,285.1529731
0.0,6.7,12/01/2012,295.4729666
0.0,5.2,13/01/2012,296.6075439
0.0,4.3,14/01/2012,293.2129685
0.0,2.0,15/01/2012,296.6075439
0.0,-0.05,16/01/2012,296.60754390000005
0.0,0.25,17/01/2012,296.60754390000005
0.0,2.65,18/01/2012,295.3606553
0.0,3.8,19/01/2012,296.6075439
8.4,5.65,20/01/2012,274.76074750000004
0.0,6.3,21/01/2012,275.6707627
0.0,6.4,22/01/2012,296.6075439
0.0,6.8,23/01/2012,291.50363745000004
0.2,7.0,24/01/2012,296.6075439
0.0,1.85,25/01/2012,287.4071353
0.0,2.0,26/01/2012,296.6075439
0.0,2.8,27/01/2012,295.3606553
0.0,3.35,28/01/2012,296.6075439
0.0,4.65,29/01/2012,291.4056994
0.0,4.55,30/01/2012,291.4056994
3.0,1.2,31/01/2012,288.9780702
13.8,0.4,01/02/2012,289.5708477
7.2,0.6,02/02/2012,296.6075439
9.2,0.3,03/02/2012,296.6075439
4.8,0.3,04/02/2012,296.6075439
1.8,-0.5,05/02/2012,296.60754390000005
5.6,-0.6,06/02/2012,296.6075439
1.2,-1.1,07/02/2012,296.60754390000005
7.8,2.05,08/02/2012,296.6075439
14.8,0.8,09/02/2012,289.5708477
1.0,-0.35,10/02/2012,296.60754390000005
10.4,0.6,11/02/2012,289.5708477
13.2,0.25,12/02/2012,289.5708477
16.4,-0.55,13/02/2012,289.5708477
11.0,-1.1,14/02/2012,289.5708477
1.2,-1.3,15/02/2012,296.60754390000005
0.0,2.9,16/02/2012,295.3606553
0.0,2.0,17/02/2012,296.6075439
0.0,4.75,18/02/2012,285.1529731
2.8,4.9,19/02/2012,286.14096960000006
8.8,5.4,20/02/2012,284.4637546
0.2,7.2,21/02/2012,286.7405164
0.0,7.35,22/02/2012,295.5100706
0.0,8.65,23/02/2012,291.66477145
0.0,9.8,24/02/2012,286.6732973
0.0,11.05,25/02/2012,248.01801863333336
0.0,8.25,26/02/2012,286.8243296
2.2,3.7,27/02/2012,286.28406789999997
0.0,5.15,28/02/2012,296.6075439
0.0,9.75,29/02/2012,282.2443597
0.0,13.25,01/03/2012,287.02982569999995
0.0,12.35,02/03/2012,275.6340509
0.0,9.8,03/03/2012,286.6732973
0.0,8.25,04/03/2012,286.8243296
8.8,9.25,05/03/2012,285.9679685
7.6,5.55,06/03/2012,290.68877660000004
0.0,6.05,07/03/2012,296.6075439
0.0,5.35,08/03/2012,296.6075439
0.0,7.5,09/03/2012,296.6075439
0.0,9.2,10/03/2012,296.6075439
0.0,9.15,11/03/2012,284.5879713
0.0,8.35,12/03/2012,267.53809996666666
0.0,9.15,13/03/2012,284.5879713
0.0,9.25,14/03/2012,296.6075439
0.0,11.75,15/03/2012,201.1240064
0.0,12.65,16/03/2012,226.98751430000002
0.0,11.55,17/03/2012,264.43726886666667
0.0,12.25,18/03/2012,287.877428
0.0,12.2,19/03/2012,287.877428
0.0,14.1,20/03/2012,274.2687412
0.0,15.2,21/03/2012,285.9932595
0.0,15.5,22/03/2012,262.22199596666667
0.0,14.3,23/03/2012,274.2687412
0.0,12.95,24/03/2012,246.2066743
0.0,12.05,25/03/2012,284.8357024
0.0,13.3,26/03/2012,296.02190935
0.0,12.8,27/03/2012,273.90091
0.0,14.0,28/03/2012,227.6734397
0.0,13.9,29/03/2012,239.7366229
0.0,12.05,30/03/2012,284.8357024
0.0,12.35,31/03/2012,275.6340509
0.0,11.6,01/04/2012,277.4006471
0.2,13.2,02/04/2012,279.6956119
0.4,15.7,03/04/2012,284.7121872
0.0,16.05,04/04/2012,227.1598042
38.6,12.3,05/04/2012,284.8860213
0.2,12.9,06/04/2012,275.6731375
5.6,8.75,07/04/2012,289.54556139999994
19.4,8.0,08/04/2012,296.6075439
0.2,6.25,09/04/2012,276.6314134
0.0,8.7,10/04/2012,285.02726795
12.6,7.45,11/04/2012,273.92275750000005
0.2,9.65,12/04/2012,296.6075439
14.8,8.45,13/04/2012,296.6075439
19.4,9.25,14/04/2012,288.0262688
9.4,9.15,15/04/2012,285.9679685
8.2,9.4,16/04/2012,274.1222673
2.2,8.65,17/04/2012,288.6040936
3.0,8.75,18/04/2012,294.553379
13.0,9.35,19/04/2012,285.9679685
21.0,7.2,20/04/2012,226.94111580000003
0.4,9.9,21/04/2012,221.54346
5.2,11.25,22/04/2012,286.45502739999995
10.0,9.8,23/04/2012,275.994158
3.6,10.8,24/04/2012,274.1636538
0.0,10.75,25/04/2012,217.719509
0.0,13.35,26/04/2012,276.8946238
0.0,18.65,27/04/2012,293.215641
0.0,21.65,28/04/2012,295.69434110000003
0.0,18.3,29/04/2012,285.43452110000004
0.0,18.95,30/04/2012,286.2061508
0.4,18.8,01/05/2012,294.8348528
0.0,16.65,02/05/2012,292.0609505
0.0,14.95,03/05/2012,279.97478090000004
0.0,13.7,04/05/2012,284.16673910000003
0.0,13.35,05/05/2012,276.8946238
